  n    rpns   sigma   sigma_n/2   sigma_n/3   sigma_n/4   sigma_n/6  sigma_n/12
   1      4      1           0         0           0           0           0
   2      4      3           1         0           0           0           0
   3      4      4           0         1           0           0           0
   4     20      7           3         0           1           0           0
   5     24      6           0         0           0           0           0
   6      4     12           4         3           0           1           0
   7     32      8           0         0           0           0           0
   8     52     15           7         0           3           0           0
   9      4     13           0         4           0           0           0
  10     24     18           6         0           0           0           0
  11     48     12           0         0           0           0           0
  12     20     28          12         7           4           3           1
  13     56     14           0         0           0           0           0
  14     32     24           8         0           0           0           0
  15     24     24           0         6           0           0           0
  16    116     31          15         0           7           0           0
  17     72     18           0         0           0           0           0
  18      4     39          13        12           0           4           0
  19     80     20           0         0           0           0           0
  20    120     42          18         0           6           0           0
  21     32     32           0         8           0           0           0
  22     48     36          12         0           0           0           0
  23     96     24           0         0           0           0           0
  24     52     60          28        15          12           7           3
  25    124     31           0         0           0           0           0
  26     56     42          14         0           0           0           0
  27      4     40           0        13           0           0           0
  28    160     56          24         0           8           0           0
  29    120     30           0         0           0           0           0
  30     24     72          24        18           0           6           0
  31    128     32           0         0           0           0           0
  32    244     63          31         0          15           0           0
  33     48     48           0        12           0           0           0
  34     72     54          18         0           0           0           0
  35    192     48           0         0           0           0           0
  36     20     91          39        28          13          12           4
  37    152     38           0         0           0           0           0
  38     80     60          20         0           0           0           0
  39     56     56           0        14           0           0           0
  40    312     90          42         0          18           0           0
  41    168     42           0         0           0           0           0
  42     32     96          32        24           0           8           0
  43    176     44           0         0           0           0           0
  44    240     84          36         0          12           0           0
  45     24     78           0        24           0           0           0
  46     96     72          24         0           0           0           0
  47    192     48           0         0           0           0           0
  48    116    124          60        31          28          15           7
  49    228     57           0         0           0           0           0
  50    124     93          31         0           0           0           0
  51     72     72           0        18           0           0           0
  52    280     98          42         0          14           0           0
  53    216     54           0         0           0           0           0
  54      4    120          40        39           0          13           0
  55    288     72           0         0           0           0           0
  56    416    120          56         0          24           0           0
  57     80     80           0        20           0           0           0
  58    120     90          30         0           0           0           0
  59    240     60           0         0           0           0           0
  60    120    168          72        42          24          18           6
  61    248     62           0         0           0           0           0
  62    128     96          32         0           0           0           0
  63     32    104           0        32           0           0           0
  64    500    127          63         0          31           0           0
  65    336     84           0         0           0           0           0
  66     48    144          48        36           0          12           0
  67    272     68           0         0           0           0           0
  68    360    126          54         0          18           0           0
  69     96     96           0        24           0           0           0
  70    192    144          48         0           0           0           0
  71    288     72           0         0           0           0           0
  72     52    195          91        60          39          28          12
  73    296     74           0         0           0           0           0
  74    152    114          38         0           0           0           0
  75    124    124           0        31           0           0           0
  76    400    140          60         0          20           0           0
  77    384     96           0         0           0           0           0
  78     56    168          56        42           0          14           0
  79    320     80           0         0           0           0           0
  80    696    186          90         0          42           0           0
  81      4    121           0        40           0           0           0
  82    168    126          42         0           0           0           0
  83    336     84           0         0           0           0           0
  84    160    224          96        56          32          24           8
  85    432    108           0         0           0           0           0
  86    176    132          44         0           0           0           0
  87    120    120           0        30           0           0           0
  88    624    180          84         0          36           0           0
  89    360     90           0         0           0           0           0
  90     24    234          78        72           0          24           0
  91    448    112           0         0           0           0           0
  92    480    168          72         0          24           0           0
  93    128    128           0        32           0           0           0
  94    192    144          48         0           0           0           0
  95    480    120           0         0           0           0           0
  96    244    252         124        63          60          31          15
  97    392     98           0         0           0           0           0
  98    228    171          57         0           0           0           0
  99     48    156           0        48           0           0           0
 100    620    217          93         0          31           0           0
 101    408    102           0         0           0           0           0
 102     72    216          72        54           0          18           0
 103    416    104           0         0           0           0           0
 104    728    210          98         0          42           0           0
 105    192    192           0        48           0           0           0
 106    216    162          54         0           0           0           0
 107    432    108           0         0           0           0           0
 108     20    280         120        91          40          39          13
 109    440    110           0         0           0           0           0
 110    288    216          72         0           0           0           0
 111    152    152           0        38           0           0           0
 112    928    248         120         0          56           0           0
 113    456    114           0         0           0           0           0
 114     80    240          80        60           0          20           0
 115    576    144           0         0           0           0           0
 116    600    210          90         0          30           0           0
 117     56    182           0        56           0           0           0
 118    240    180          60         0           0           0           0
 119    576    144           0         0           0           0           0
 120    312    360         168        90          72          42          18
 121    532    133           0         0           0           0           0
 122    248    186          62         0           0           0           0
 123    168    168           0        42           0           0           0
 124    640    224          96         0          32           0           0
 125    624    156           0         0           0           0           0
 126     32    312         104        96           0          32           0
 127    512    128           0         0           0           0           0
 128   1012    255         127         0          63           0           0
 129    176    176           0        44           0           0           0
 130    336    252          84         0           0           0           0
 131    528    132           0         0           0           0           0
 132    240    336         144        84          48          36          12
 133    640    160           0         0           0           0           0
 134    272    204          68         0           0           0           0
 135     24    240           0        78           0           0           0
 136    936    270         126         0          54           0           0
 137    552    138           0         0           0           0           0
 138     96    288          96        72           0          24           0
 139    560    140           0         0           0           0           0
 140    960    336         144         0          48           0           0
 141    192    192           0        48           0           0           0
 142    288    216          72         0           0           0           0
 143    672    168           0         0           0           0           0
 144    116    403         195       124          91          60          28
 145    720    180           0         0           0           0           0
 146    296    222          74         0           0           0           0
 147    228    228           0        57           0           0           0
 148    760    266         114         0          38           0           0
 149    600    150           0         0           0           0           0
 150    124    372         124        93           0          31           0
 151    608    152           0         0           0           0           0
